"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"45279_at"	"4.34e-02"	"8.18e-03"	"-2.675417"	"-3.04381"	"-0.2792283"	"TFDP2"	"transcription factor Dp-2 (E2F dimerization partner 2)"
"45482_s_at"	"4.36e-02"	"8.21e-03"	"-2.674293"	"-3.04665"	"-0.4740676"	"ZNF469"	"zinc finger protein 469"
"45879_at"	"4.37e-02"	"8.24e-03"	"2.673171"	"-3.04948"	"0.4679884"	"FAM226B"	"family with sequence similarity 226, member B (non-protein coding)"
"44745_at"	"4.37e-02"	"8.24e-03"	"-2.673156"	"-3.04951"	"-0.1940192"	"SRP68"	"signal recognition particle 68kDa"
"44543_at"	"4.37e-02"	"8.25e-03"	"-2.672781"	"-3.05046"	"-0.539859"	"DACH1"	"dachshund family transcription factor 1"
"55972_at"	"4.37e-02"	"8.25e-03"	"2.672577"	"-3.05097"	"0.4126457"	""	""
"43583_at"	"4.38e-02"	"8.27e-03"	"2.671637"	"-3.05334"	"0.5897338"	""	""
"50116_at"	"4.39e-02"	"8.29e-03"	"2.671072"	"-3.05476"	"0.535491"	"DPF3"	"D4, zinc and double PHD fingers, family 3"
"52040_at"	"4.39e-02"	"8.29e-03"	"2.670953"	"-3.05506"	"0.5126095"	"FAM208A"	"family with sequence similarity 208, member A"
"57984_at"	"4.40e-02"	"8.32e-03"	"2.66985"	"-3.05784"	"0.403037"	"SPIDR"	"scaffolding protein involved in DNA repair"
"46126_at"	"4.41e-02"	"8.35e-03"	"2.668303"	"-3.06174"	"0.2649166"	"OLIG1"	"oligodendrocyte transcription factor 1"
"59052_at"	"4.42e-02"	"8.36e-03"	"2.668009"	"-3.06248"	"0.2139562"	"ASPHD2"	"aspartate beta-hydroxylase domain containing 2"
"57931_s_at"	"4.42e-02"	"8.36e-03"	"2.667861"	"-3.06285"	"0.3226702"	"PGLS"	"6-phosphogluconolactonase"
"44868_s_at"	"4.42e-02"	"8.37e-03"	"-2.667434"	"-3.06392"	"-0.4475907"	"ACVRL1"	"activin A receptor type II-like 1"
"48303_at"	"4.42e-02"	"8.38e-03"	"2.667337"	"-3.06417"	"0.4890048"	""	""
"50920_at"	"4.44e-02"	"8.42e-03"	"-2.665412"	"-3.06901"	"-0.4028502"	"PSMF1"	"proteasome (prosome, macropain) inhibitor subunit 1 (PI31)"
"43391_at"	"4.45e-02"	"8.44e-03"	"2.664519"	"-3.07125"	"0.3670693"	"PIM3"	"Pim-3 proto-oncogene, serine/threonine kinase"
"51206_at"	"4.45e-02"	"8.44e-03"	"2.664489"	"-3.07133"	"0.2510574"	"TTC9C"	"tetratricopeptide repeat domain 9C"
"53504_at"	"4.45e-02"	"8.44e-03"	"-2.664451"	"-3.07142"	"-0.5075665"	"C10orf11"	"chromosome 10 open reading frame 11"
"58343_r_at"	"4.45e-02"	"8.45e-03"	"-2.664386"	"-3.07159"	"-0.3661475"	"ANP32E"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"
"48417_r_at"	"4.46e-02"	"8.47e-03"	"2.663401"	"-3.07406"	"0.2426014"	"NDUFC2"	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"
"47529_at"	"4.46e-02"	"8.47e-03"	"-2.66329"	"-3.07434"	"-0.3420099"	"NR2F2"	"nuclear receptor subfamily 2, group F, member 2"
"42731_at"	"4.46e-02"	"8.48e-03"	"2.662934"	"-3.07523"	"0.4085885"	"UBAC2-AS1"	"UBAC2 antisense RNA 1"
"59139_at"	"4.46e-02"	"8.48e-03"	"-2.66284"	"-3.07547"	"-0.6571065"	""	""
"57204_at"	"4.46e-02"	"8.48e-03"	"-2.66283"	"-3.07549"	"-0.2442741"	"ABHD16A"	"abhydrolase domain containing 16A"
"49989_at"	"4.46e-02"	"8.49e-03"	"2.662551"	"-3.0762"	"0.4320951"	"LPPR1"	"lipid phosphate phosphatase-related protein type 1"
"53750_at"	"4.46e-02"	"8.50e-03"	"-2.66235"	"-3.0767"	"-0.3728364"	"DERL2"	"derlin 2"
"54537_at"	"4.47e-02"	"8.52e-03"	"2.661192"	"-3.07961"	"0.3522432"	"LSG1"	"large 60S subunit nuclear export GTPase 1"
"47141_at"	"4.47e-02"	"8.53e-03"	"2.661128"	"-3.07977"	"0.2294584"	"TP53I13"	"tumor protein p53 inducible protein 13"
"44544_at"	"4.48e-02"	"8.54e-03"	"2.660702"	"-3.08084"	"0.4331333"	"RNFT1"	"ring finger protein, transmembrane 1"
"56163_at"	"4.50e-02"	"8.58e-03"	"-2.658702"	"-3.08586"	"-0.4182273"	"HOOK3"	"hook microtubule-tethering protein 3"
"57207_at"	"4.50e-02"	"8.60e-03"	"-2.658129"	"-3.08729"	"-0.3563393"	"VWA9"	"von Willebrand factor A domain containing 9"
"43354_at"	"4.50e-02"	"8.60e-03"	"2.657939"	"-3.08777"	"0.3133427"	"COMTD1"	"catechol-O-methyltransferase domain containing 1"
"49644_at"	"4.50e-02"	"8.60e-03"	"2.657895"	"-3.08788"	"0.5114444"	"EMC2"	"ER membrane protein complex subunit 2"
"46884_at"	"4.50e-02"	"8.60e-03"	"2.657857"	"-3.08798"	"0.5218999"	""	""
"53212_at"	"4.50e-02"	"8.60e-03"	"-2.657856"	"-3.08798"	"-0.378102"	"FGFR1"	"fibroblast growth factor receptor 1"
"53743_at"	"4.50e-02"	"8.61e-03"	"-2.657698"	"-3.08838"	"-0.255431"	"FBXL12"	"F-box and leucine-rich repeat protein 12"
"45261_at"	"4.50e-02"	"8.62e-03"	"-2.657362"	"-3.08922"	"-0.3152861"	"LAP3"	"leucine aminopeptidase 3"
"53541_at"	"4.50e-02"	"8.62e-03"	"-2.657209"	"-3.0896"	"-0.3739744"	"FKBP14"	"FK506 binding protein 14, 22 kDa"
"44120_at"	"4.51e-02"	"8.64e-03"	"2.65636"	"-3.09173"	"0.2434391"	"ADCK2"	"aarF domain containing kinase 2"
"57520_at"	"4.51e-02"	"8.64e-03"	"2.656341"	"-3.09178"	"0.4437915"	"RPL32P3"	"ribosomal protein L32 pseudogene 3"
"43093_at"	"4.52e-02"	"8.66e-03"	"2.655472"	"-3.09395"	"0.2639768"	"NEMF"	"nuclear export mediator factor"
"49430_at"	"4.54e-02"	"8.70e-03"	"-2.65414"	"-3.09729"	"-0.3331452"	"C3orf18"	"chromosome 3 open reading frame 18"
"47533_at"	"4.55e-02"	"8.73e-03"	"-2.652769"	"-3.10072"	"-0.4572122"	"GBP3"	"guanylate binding protein 3"
"45614_at"	"4.55e-02"	"8.74e-03"	"-2.652503"	"-3.10139"	"-0.4805767"	"DNAJC15"	"DnaJ (Hsp40) homolog, subfamily C, member 15"
"42725_at"	"4.56e-02"	"8.76e-03"	"2.651625"	"-3.10358"	"0.4035451"	""	""
"47370_at"	"4.56e-02"	"8.76e-03"	"-2.65149"	"-3.10392"	"-0.3330751"	""	""
"44273_at"	"4.57e-02"	"8.78e-03"	"2.650855"	"-3.10551"	"0.4838157"	""	""
"56540_at"	"4.57e-02"	"8.78e-03"	"-2.650593"	"-3.10617"	"-0.3505527"	"TM2D3"	"TM2 domain containing 3"
"53128_at"	"4.57e-02"	"8.79e-03"	"2.650209"	"-3.10713"	"0.3120282"	"LMBR1L"	"limb development membrane protein 1-like"
"53540_at"	"4.59e-02"	"8.83e-03"	"2.648813"	"-3.11062"	"0.4835998"	"NOM1"	"nucleolar protein with MIF4G domain 1"
"42622_at"	"4.59e-02"	"8.84e-03"	"2.648246"	"-3.11204"	"0.4309656"	""	""
"48598_at"	"4.62e-02"	"8.90e-03"	"-2.645934"	"-3.11781"	"-0.2338815"	"ZYG11B"	"zyg-11 family member B, cell cycle regulator"
"43078_at"	"4.63e-02"	"8.91e-03"	"2.645523"	"-3.11884"	"0.4702647"	"GORAB"	"golgin, RAB6-interacting"
"55196_at"	"4.63e-02"	"8.92e-03"	"2.64525"	"-3.11952"	"0.5795053"	""	""
"56025_at"	"4.63e-02"	"8.93e-03"	"2.644879"	"-3.12044"	"0.4850245"	"C12orf54"	"chromosome 12 open reading frame 54"
"51410_at"	"4.63e-02"	"8.93e-03"	"2.644781"	"-3.12069"	"0.3233343"	"ZNHIT6"	"zinc finger, HIT-type containing 6"
"48336_at"	"4.63e-02"	"8.93e-03"	"2.644698"	"-3.1209"	"0.3527773"	"DDX11L9///DDX11L2"	"DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 9///DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 2"
"50987_at"	"4.63e-02"	"8.94e-03"	"2.644411"	"-3.12161"	"0.4612095"	""	""
"50472_at"	"4.63e-02"	"8.95e-03"	"2.644205"	"-3.12213"	"0.3432067"	""	""
"46066_at"	"4.63e-02"	"8.95e-03"	"-2.643953"	"-3.12276"	"-0.3734376"	"TMLHE"	"trimethyllysine hydroxylase, epsilon"
"54946_at"	"4.65e-02"	"8.98e-03"	"2.64273"	"-3.12581"	"0.3929329"	"ALG12"	"ALG12, alpha-1,6-mannosyltransferase"
"44776_at"	"4.66e-02"	"9.01e-03"	"-2.64181"	"-3.1281"	"-0.2431341"	"TRAPPC1"	"trafficking protein particle complex 1"
"47107_at"	"4.66e-02"	"9.01e-03"	"2.641735"	"-3.12829"	"0.4251593"	"DNAJC25"	"DnaJ (Hsp40) homolog, subfamily C , member 25"
"47489_at"	"4.66e-02"	"9.02e-03"	"2.641216"	"-3.12958"	"0.6624109"	"SESN3"	"sestrin 3"
"56879_at"	"4.66e-02"	"9.03e-03"	"-2.640967"	"-3.1302"	"-0.4579371"	"HS3ST3B1"	"heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1"
"50463_at"	"4.66e-02"	"9.03e-03"	"2.640736"	"-3.13078"	"0.3637729"	"LOC100129476"	"uncharacterized LOC100129476"
"44840_s_at"	"4.67e-02"	"9.04e-03"	"2.640351"	"-3.13174"	"0.3441431"	"RALGAPA2"	"Ral GTPase activating protein, alpha subunit 2 (catalytic)"
"42527_at"	"4.68e-02"	"9.07e-03"	"2.639212"	"-3.13458"	"0.6255964"	""	""
"56766_at"	"4.68e-02"	"9.07e-03"	"2.639167"	"-3.13469"	"0.4630781"	""	""
"56143_at"	"4.68e-02"	"9.08e-03"	"2.639112"	"-3.13483"	"0.2648777"	"DISP1"	"dispatched homolog 1 (Drosophila)"
"44635_at"	"4.70e-02"	"9.11e-03"	"2.637689"	"-3.13837"	"0.2368414"	"MAP3K3"	"mitogen-activated protein kinase kinase kinase 3"
"42211_at"	"4.70e-02"	"9.12e-03"	"2.637541"	"-3.13874"	"0.2465213"	"SLAMF9"	"SLAM family member 9"
"53918_at"	"4.70e-02"	"9.13e-03"	"-2.637188"	"-3.13962"	"-0.3564946"	"DNAJC3"	"DnaJ (Hsp40) homolog, subfamily C, member 3"
"57023_at"	"4.71e-02"	"9.16e-03"	"-2.635935"	"-3.14273"	"-0.3831401"	"CCDC91"	"coiled-coil domain containing 91"
"46386_at"	"4.72e-02"	"9.17e-03"	"2.635324"	"-3.14426"	"0.431108"	""	""
"47531_at"	"4.72e-02"	"9.19e-03"	"-2.6348"	"-3.14556"	"-0.5634062"	"TCF21"	"transcription factor 21"
"59095_at"	"4.74e-02"	"9.21e-03"	"-2.633865"	"-3.14789"	"-0.4053392"	"FAM101B"	"family with sequence similarity 101, member B"
"57308_at"	"4.74e-02"	"9.22e-03"	"2.633416"	"-3.149"	"0.3643057"	""	""
"43469_g_at"	"4.74e-02"	"9.24e-03"	"2.632851"	"-3.15041"	"0.2426796"	"ARPC5L"	"actin related protein 2/3 complex, subunit 5-like"
"51096_at"	"4.75e-02"	"9.24e-03"	"2.632601"	"-3.15103"	"0.4608774"	"ERO1L"	"ERO1-like (S. cerevisiae)"
"51802_at"	"4.75e-02"	"9.26e-03"	"-2.632133"	"-3.15219"	"-0.4863762"	"ZMAT4"	"zinc finger, matrin-type 4"
"59564_at"	"4.75e-02"	"9.26e-03"	"2.632044"	"-3.15241"	"0.4282405"	""	""
"47488_at"	"4.76e-02"	"9.28e-03"	"-2.631142"	"-3.15465"	"-0.337298"	"EFHD2"	"EF-hand domain family, member D2"
"42744_at"	"4.76e-02"	"9.28e-03"	"-2.631092"	"-3.15478"	"-0.5438448"	""	""
"43144_at"	"4.78e-02"	"9.32e-03"	"2.629648"	"-3.15836"	"0.4196558"	"KCTD19"	"potassium channel tetramerization domain containing 19"
"48184_at"	"4.78e-02"	"9.34e-03"	"2.629033"	"-3.15989"	"0.5117924"	""	""
"56819_at"	"4.79e-02"	"9.35e-03"	"2.628491"	"-3.16124"	"0.3813126"	"LINC01158"	"long intergenic non-protein coding RNA 1158"
"43989_at"	"4.79e-02"	"9.35e-03"	"-2.628419"	"-3.16141"	"-0.5329591"	"HEY1"	"hes-related family bHLH transcription factor with YRPW motif 1"
"59488_at"	"4.80e-02"	"9.38e-03"	"-2.627379"	"-3.16399"	"-0.4570377"	"ARL4A"	"ADP-ribosylation factor-like 4A"
"41941_r_at"	"4.80e-02"	"9.39e-03"	"2.626878"	"-3.16524"	"0.4869972"	"STX7"	"syntaxin 7"
"52300_f_at"	"4.80e-02"	"9.40e-03"	"-2.626774"	"-3.16549"	"-0.2594925"	"MAP1LC3A"	"microtubule-associated protein 1 light chain 3 alpha"
"49467_at"	"4.81e-02"	"9.41e-03"	"2.626238"	"-3.16683"	"0.229153"	"RPUSD4"	"RNA pseudouridylate synthase domain containing 4"
"46687_at"	"4.81e-02"	"9.42e-03"	"-2.625959"	"-3.16752"	"-0.24167"	"SLC39A13"	"solute carrier family 39 (zinc transporter), member 13"
"51232_at"	"4.81e-02"	"9.42e-03"	"2.625928"	"-3.16759"	"0.291126"	"CDCA4"	"cell division cycle associated 4"
"50069_at"	"4.82e-02"	"9.44e-03"	"-2.625041"	"-3.16979"	"-0.324451"	"ATP6V0A2"	"ATPase, H+ transporting, lysosomal V0 subunit a2"
"42366_at"	"4.82e-02"	"9.45e-03"	"-2.624839"	"-3.17029"	"-0.2790711"	"PRPF40A"	"PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)"
"43471_g_at"	"4.83e-02"	"9.47e-03"	"2.624116"	"-3.17208"	"0.2158048"	"NDUFB10"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa"
"56186_at"	"4.83e-02"	"9.48e-03"	"-2.623561"	"-3.17346"	"-0.47326"	"IDNK"	"idnK, gluconokinase homolog (E. coli)"
"54380_at"	"4.83e-02"	"9.48e-03"	"2.623507"	"-3.17359"	"0.3528568"	"ZNF664"	"zinc finger protein 664"
"43292_at"	"4.84e-02"	"9.51e-03"	"2.622658"	"-3.1757"	"0.5812113"	""	""
"47130_at"	"4.84e-02"	"9.51e-03"	"-2.622429"	"-3.17626"	"-0.3840203"	"CHODL"	"chondrolectin"
"42386_at"	"4.85e-02"	"9.53e-03"	"2.621704"	"-3.17806"	"0.4738241"	""	""
"54228_at"	"4.85e-02"	"9.54e-03"	"-2.621496"	"-3.17857"	"-0.4975859"	""	""
"47599_at"	"4.87e-02"	"9.58e-03"	"2.620081"	"-3.18208"	"0.2804146"	"GGN"	"gametogenetin"
"59344_at"	"4.87e-02"	"9.58e-03"	"2.620046"	"-3.18216"	"0.2511003"	""	""
"44929_r_at"	"4.87e-02"	"9.58e-03"	"2.620018"	"-3.18223"	"0.3751785"	""	""
"54147_at"	"4.87e-02"	"9.60e-03"	"2.619351"	"-3.18388"	"0.4391858"	"EHF"	"ets homologous factor"
"43778_at"	"4.88e-02"	"9.62e-03"	"2.618498"	"-3.18599"	"0.6512411"	"TMEM59"	"transmembrane protein 59"
"52695_at"	"4.88e-02"	"9.62e-03"	"-2.618476"	"-3.18605"	"-0.2465274"	"MED13"	"mediator complex subunit 13"
"47241_at"	"4.88e-02"	"9.62e-03"	"2.618394"	"-3.18625"	"0.3974907"	""	""
"55787_at"	"4.90e-02"	"9.66e-03"	"-2.617093"	"-3.18947"	"-0.5330532"	"CYB5B"	"cytochrome b5 type B (outer mitochondrial membrane)"
"45258_at"	"4.90e-02"	"9.66e-03"	"2.616926"	"-3.18988"	"0.1910763"	"ATXN7L3"	"ataxin 7-like 3"
"46663_at"	"4.90e-02"	"9.66e-03"	"2.616845"	"-3.19008"	"0.2390161"	"LHX4-AS1"	"LHX4 antisense RNA 1"
"48421_at"	"4.92e-02"	"9.72e-03"	"2.614949"	"-3.19477"	"0.4334923"	"OVOL1"	"ovo-like zinc finger 1"
"55384_g_at"	"4.92e-02"	"9.72e-03"	"2.614655"	"-3.19549"	"0.1864382"	"NUP62"	"nucleoporin 62kDa"
"45054_at"	"4.93e-02"	"9.74e-03"	"2.613901"	"-3.19735"	"0.4052669"	""	""
"52762_at"	"4.94e-02"	"9.77e-03"	"2.612949"	"-3.1997"	"0.4972944"	"YOD1"	"YOD1 deubiquitinase"
"54505_at"	"4.94e-02"	"9.78e-03"	"2.61268"	"-3.20037"	"0.3941877"	"TJP2"	"tight junction protein 2"
"58953_at"	"4.95e-02"	"9.80e-03"	"2.611998"	"-3.20205"	"0.3952256"	"OGDHL"	"oxoglutarate dehydrogenase-like"
"46178_at"	"4.96e-02"	"9.81e-03"	"2.611397"	"-3.20353"	"0.4516683"	""	""
"44822_s_at"	"4.97e-02"	"9.84e-03"	"2.610396"	"-3.206"	"0.1928507"	"MIER2"	"mesoderm induction early response 1, family member 2"
"48196_at"	"4.98e-02"	"9.88e-03"	"2.609174"	"-3.20902"	"0.3464998"	""	""
"57258_at"	"4.98e-02"	"9.88e-03"	"-2.609075"	"-3.20926"	"-0.3625773"	"LOC100506882"	"uncharacterized LOC100506882"
"52518_at"	"5.02e-02"	"9.95e-03"	"2.606522"	"-3.21555"	"0.5844761"	""	""
"43991_at"	"5.02e-02"	"9.96e-03"	"2.606301"	"-3.2161"	"0.250485"	"TMEM168"	"transmembrane protein 168"
"47668_at"	"5.03e-02"	"9.99e-03"	"2.60509"	"-3.21908"	"0.4233979"	""	""
"42141_at"	"5.05e-02"	"1.00e-02"	"2.603537"	"-3.2229"	"0.4062977"	""	""
"48256_r_at"	"5.05e-02"	"1.00e-02"	"2.603312"	"-3.22345"	"0.5198114"	"MED13"	"mediator complex subunit 13"
"46953_f_at"	"5.06e-02"	"1.01e-02"	"2.602695"	"-3.22497"	"0.2154979"	""	""
"57162_at"	"5.06e-02"	"1.01e-02"	"2.602505"	"-3.22544"	"0.2991158"	"ARFGAP1"	"ADP-ribosylation factor GTPase activating protein 1"
"48513_at"	"5.06e-02"	"1.01e-02"	"-2.602489"	"-3.22548"	"-0.3827066"	"TTYH1"	"tweety family member 1"
"42476_at"	"5.06e-02"	"1.01e-02"	"2.60217"	"-3.22626"	"0.4564368"	"ESCO2"	"establishment of sister chromatid cohesion N-acetyltransferase 2"
"58206_at"	"5.06e-02"	"1.01e-02"	"-2.601783"	"-3.22721"	"-0.2253"	"TRIP12"	"thyroid hormone receptor interactor 12"
"48748_at"	"5.06e-02"	"1.01e-02"	"-2.601755"	"-3.22728"	"-0.230127"	"EGLN2"	"egl-9 family hypoxia-inducible factor 2"
"45518_at"	"5.07e-02"	"1.01e-02"	"-2.601395"	"-3.22817"	"-0.2875637"	"TBC1D22A"	"TBC1 domain family, member 22A"
"43990_at"	"5.07e-02"	"1.01e-02"	"-2.601349"	"-3.22828"	"-0.5114249"	"EAF2"	"ELL associated factor 2"
"56788_at"	"5.07e-02"	"1.01e-02"	"2.601228"	"-3.22858"	"0.4005647"	"DCST2"	"DC-STAMP domain containing 2"
"50801_at"	"5.07e-02"	"1.01e-02"	"2.601071"	"-3.22896"	"0.5040285"	"GART"	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"42942_at"	"5.07e-02"	"1.01e-02"	"2.600907"	"-3.22936"	"0.5469333"	""	""
"59151_at"	"5.07e-02"	"1.01e-02"	"2.600422"	"-3.23056"	"0.2178681"	"ASB7"	"ankyrin repeat and SOCS box containing 7"
"51621_at"	"5.07e-02"	"1.01e-02"	"2.600321"	"-3.23081"	"0.4541969"	""	""
"45292_at"	"5.08e-02"	"1.01e-02"	"-2.599598"	"-3.23258"	"-0.3004268"	"KCTD10"	"potassium channel tetramerization domain containing 10"
"45546_at"	"5.08e-02"	"1.02e-02"	"2.599129"	"-3.23373"	"0.2829577"	"C19orf10"	"chromosome 19 open reading frame 10"
"55697_at"	"5.08e-02"	"1.02e-02"	"2.598983"	"-3.23409"	"0.3240042"	"ADAMTSL4"	"ADAMTS-like 4"
"54372_at"	"5.08e-02"	"1.02e-02"	"2.598863"	"-3.23439"	"0.4936981"	""	""
"47282_at"	"5.08e-02"	"1.02e-02"	"2.598831"	"-3.23447"	"0.4491718"	"SLCO1A2"	"solute carrier organic anion transporter family, member 1A2"
"54090_at"	"5.09e-02"	"1.02e-02"	"2.598398"	"-3.23553"	"0.3903239"	"CCDC51"	"coiled-coil domain containing 51"
"58300_g_at"	"5.09e-02"	"1.02e-02"	"2.597914"	"-3.23672"	"0.2832524"	"PTRHD1"	"peptidyl-tRNA hydrolase domain containing 1"
"46878_at"	"5.09e-02"	"1.02e-02"	"-2.597787"	"-3.23703"	"-0.5139567"	""	""
"46261_at"	"5.10e-02"	"1.02e-02"	"-2.59709"	"-3.23874"	"-0.2903988"	"AGGF1"	"angiogenic factor with G patch and FHA domains 1"
"47259_at"	"5.10e-02"	"1.02e-02"	"2.596537"	"-3.2401"	"0.3092955"	""	""
"56636_at"	"5.10e-02"	"1.02e-02"	"2.59647"	"-3.24026"	"0.3345812"	""	""
"58845_at"	"5.12e-02"	"1.03e-02"	"-2.595007"	"-3.24385"	"-0.3815379"	"APOL4"	"apolipoprotein L, 4"
"45868_at"	"5.13e-02"	"1.03e-02"	"2.594523"	"-3.24504"	"0.2374781"	"PIAS2"	"protein inhibitor of activated STAT, 2"
"55284_at"	"5.14e-02"	"1.03e-02"	"2.593606"	"-3.24729"	"0.3238369"	"CSGALNACT2"	"chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"45980_at"	"5.14e-02"	"1.03e-02"	"2.593233"	"-3.2482"	"0.4643469"	""	""
"56088_at"	"5.15e-02"	"1.03e-02"	"-2.592666"	"-3.24959"	"-0.4509859"	"GAB1"	"GRB2-associated binding protein 1"
"55748_at"	"5.17e-02"	"1.04e-02"	"2.591269"	"-3.25301"	"0.2832783"	"MRPL17"	"mitochondrial ribosomal protein L17"
"53925_at"	"5.17e-02"	"1.04e-02"	"-2.591174"	"-3.25325"	"-0.4000332"	"ARHGAP27"	"Rho GTPase activating protein 27"
"45235_at"	"5.17e-02"	"1.04e-02"	"2.59061"	"-3.25463"	"0.254908"	"RNF213"	"ring finger protein 213"
"43401_at"	"5.19e-02"	"1.04e-02"	"2.589369"	"-3.25767"	"0.4781083"	"FAM199X"	"family with sequence similarity 199, X-linked"
"48142_at"	"5.19e-02"	"1.05e-02"	"2.588787"	"-3.25909"	"0.5033489"	""	""
"47371_at"	"5.19e-02"	"1.05e-02"	"2.588479"	"-3.25985"	"0.2809422"	""	""
"56195_s_at"	"5.19e-02"	"1.05e-02"	"-2.588464"	"-3.25988"	"-0.4778967"	"PLSCR3"	"phospholipid scramblase 3"
"50209_at"	"5.19e-02"	"1.05e-02"	"2.588448"	"-3.25992"	"0.3882779"	"DNAJB14"	"DnaJ (Hsp40) homolog, subfamily B, member 14"
"48140_at"	"5.19e-02"	"1.05e-02"	"2.588387"	"-3.26007"	"0.4163571"	"B4GALNT2"	"beta-1,4-N-acetyl-galactosaminyl transferase 2"
"44433_at"	"5.19e-02"	"1.05e-02"	"2.588157"	"-3.26063"	"0.4983216"	""	""
"46959_at"	"5.20e-02"	"1.05e-02"	"2.587762"	"-3.2616"	"0.5897073"	"RPS6KA3"	"ribosomal protein S6 kinase, 90kDa, polypeptide 3"
"56898_at"	"5.20e-02"	"1.05e-02"	"2.58731"	"-3.2627"	"0.4138877"	"KLHL17"	"kelch-like family member 17"
"42381_at"	"5.22e-02"	"1.05e-02"	"2.585989"	"-3.26594"	"0.4779632"	"RPL32P3"	"ribosomal protein L32 pseudogene 3"
"49646_at"	"5.22e-02"	"1.05e-02"	"2.5858"	"-3.2664"	"0.5282724"	""	""
"42920_at"	"5.22e-02"	"1.05e-02"	"2.585799"	"-3.2664"	"0.4522466"	"XRN1"	"5'-3' exoribonuclease 1"
"45092_at"	"5.22e-02"	"1.05e-02"	"2.585616"	"-3.26685"	"0.5018489"	"LINC01004"	"long intergenic non-protein coding RNA 1004"
"44002_at"	"5.22e-02"	"1.06e-02"	"-2.585366"	"-3.26746"	"-0.5863659"	"LMO4"	"LIM domain only 4"
"57715_at"	"5.22e-02"	"1.06e-02"	"-2.584952"	"-3.26847"	"-0.3380521"	"CALHM2"	"calcium homeostasis modulator 2"
"42115_at"	"5.22e-02"	"1.06e-02"	"2.584849"	"-3.26872"	"0.4338638"	""	""
"58448_at"	"5.22e-02"	"1.06e-02"	"2.584753"	"-3.26896"	"0.3708118"	"C16orf13"	"chromosome 16 open reading frame 13"
"55392_at"	"5.22e-02"	"1.06e-02"	"2.584503"	"-3.26957"	"0.2322999"	""	""
"46187_at"	"5.23e-02"	"1.06e-02"	"-2.583761"	"-3.27138"	"-0.4415073"	"PPP2R2A"	"protein phosphatase 2, regulatory subunit B, alpha"
"58924_at"	"5.25e-02"	"1.06e-02"	"2.582454"	"-3.27457"	"0.2138341"	"RALGPS2"	"Ral GEF with PH domain and SH3 binding motif 2"
"42854_r_at"	"5.25e-02"	"1.06e-02"	"2.582448"	"-3.27459"	"0.4025741"	""	""
"44613_at"	"5.26e-02"	"1.07e-02"	"2.58153"	"-3.27683"	"0.3463129"	"IRX3"	"iroquois homeobox 3"
"59434_r_at"	"5.27e-02"	"1.07e-02"	"2.58085"	"-3.27849"	"0.3685833"	"SNTG1"	"syntrophin, gamma 1"
"52160_at"	"5.27e-02"	"1.07e-02"	"2.58059"	"-3.27912"	"0.3831888"	"LUC7L2"	"LUC7-like 2 (S. cerevisiae)"
"47777_at"	"5.27e-02"	"1.07e-02"	"2.580526"	"-3.27928"	"0.5857642"	"RBM27"	"RNA binding motif protein 27"
"47266_at"	"5.27e-02"	"1.07e-02"	"2.580442"	"-3.27948"	"0.5020169"	"OR52K3P"	"olfactory receptor, family 52, subfamily K, member 3 pseudogene"
"47223_at"	"5.27e-02"	"1.07e-02"	"-2.579824"	"-3.28099"	"-0.2798109"	""	""
"55276_at"	"5.28e-02"	"1.07e-02"	"2.578916"	"-3.28321"	"0.4626323"	"LOC729995"	"hCG1817208"
"47341_at"	"5.30e-02"	"1.08e-02"	"2.577481"	"-3.28671"	"0.5130115"	""	""
"44991_i_at"	"5.30e-02"	"1.08e-02"	"2.57733"	"-3.28707"	"0.6522425"	""	""
"41934_at"	"5.30e-02"	"1.08e-02"	"2.577272"	"-3.28721"	"0.5159694"	"HCAR1"	"hydroxycarboxylic acid receptor 1"
"51681_at"	"5.31e-02"	"1.08e-02"	"-2.576728"	"-3.28854"	"-0.3271861"	"PER3"	"period circadian clock 3"
"43711_at"	"5.31e-02"	"1.08e-02"	"2.576165"	"-3.28991"	"0.5111557"	""	""
"42619_at"	"5.32e-02"	"1.09e-02"	"2.575495"	"-3.29154"	"0.3233003"	""	""
"46219_at"	"5.33e-02"	"1.09e-02"	"2.575158"	"-3.29237"	"0.3525989"	"SEZ6L2"	"seizure related 6 homolog (mouse)-like 2"
"46008_at"	"5.33e-02"	"1.09e-02"	"2.574983"	"-3.29279"	"0.5557052"	""	""
"50269_at"	"5.33e-02"	"1.09e-02"	"-2.574727"	"-3.29341"	"-0.4917686"	"MPEG1"	"macrophage expressed 1"
